region,residential,commercial
New England,28.68,22.86
Connecticut,30.06,24.50
Maine,26.13,19.48
Massachusetts,30.08,23.02
New Hampshire,23.40,20.42
Rhode Island,31.66,24.86
Vermont,21.95,19.24
Middle Atlantic,20.75,16.54
New Jersey,19.68,15.08
New York,25.31,20.14
Pennsylvania,17.58,11.70
East North Central,16.16,12.10
Illinois,15.81,11.83
Indiana,14.65,12.90
Michigan,18.50,13.63
Ohio,15.64,10.64
Wisconsin,17.42,12.63
West North Central,12.14,9.74
Iowa,12.05,10.14
Kansas,13.32,10.57
Minnesota,14.53,11.67
Missouri,11.19,9.16
Nebraska,10.56,8.31
North Dakota,9.93,7.19
South Dakota,12.09,10.58
South Atlantic,14.16,11.11
Delaware,15.52,12.42
District of Columbia,18.83,18.59
Florida,14.43,11.32
Georgia,13.52,12.17
Maryland,18.26,14.04
North Carolina,12.47,9.94
South Carolina,13.81,11.16
Virginia,14.04,9.05
West Virginia,14.47,11.34
East South Central,13.32,12.76
Alabama,15.05,14.32
Kentucky,12.60,11.30
Mississippi,12.62,12.42
Tennessee,12.70,12.76
West South Central,13.46,8.86
Arkansas,11.25,10.02
Louisiana,11.00,10.43
Oklahoma,11.02,8.59
Texas,14.68,8.60
Mountain,13.54,10.48
Arizona,14.75,11.82
Colorado,15.01,11.01
Idaho,10.82,8.92
Montana,11.41,10.38
Nevada,13.92,9.37
New Mexico,13.73,10.14
Utah,12.12,9.15
Wyoming,11.69,9.42
Pacific Contiguous,22.06,19.27
California,30.22,23.80
Oregon,14.44,10.93
Washington,11.79,10.76
Pacific Noncontiguous,33.11,29.37
Alaska,24.74,21.73
Hawaii,40.51,37.54
U.S. Total,15.95,12.89
